"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 02월 26일","1,366.58","1,371.88","1,377.19","1,362.89","-","-0.68%"
"2019년 02월 25일","1,375.95","1,384.71","1,391.44","1,374.68","-","0.82%"
"2019년 02월 22일","1,364.78","1,361.10","1,366.12","1,355.36","-","1.08%"
"2019년 02월 21일","1,350.25","1,359.47","1,363.29","1,346.24","-","-0.74%"
"2019년 02월 20일","1,360.28","1,353.50","1,368.34","1,353.30","-","0.87%"
"2019년 02월 19일","1,348.49","1,345.99","1,357.75","1,345.78","-","-0.20%"
"2019년 02월 15일","1,351.18","1,355.41","1,358.07","1,343.03","-","0.53%"
"2019년 02월 14일","1,344.11","1,336.01","1,353.49","1,334.45","-","0.25%"
"2019년 02월 13일","1,340.71","1,342.30","1,350.68","1,336.34","-","0.30%"
"2019년 02월 12일","1,336.72","1,324.91","1,339.25","1,322.90","-","2.13%"
"2019년 02월 11일","1,308.88","1,307.29","1,311.66","1,297.52","-","0.50%"
"2019년 02월 08일","1,302.42","1,284.35","1,304.53","1,279.67","-","-0.12%"
"2019년 02월 07일","1,303.92","1,314.49","1,322.54","1,293.10","-","-2.24%"
"2019년 02월 06일","1,333.76","1,321.29","1,343.71","1,321.29","-","2.59%"
"2019년 02월 05일","1,300.13","1,291.70","1,305.00","1,291.14","-","0.48%"
"2019년 02월 04일","1,293.88","1,285.35","1,293.91","1,276.82","-","0.50%"
"2019년 02월 01일","1,287.40","1,275.88","1,292.71","1,274.69","-","1.20%"
"2019년 01월 31일","1,272.09","1,266.73","1,282.69","1,260.34","-","0.03%"
"2019년 01월 30일","1,271.76","1,254.95","1,276.46","1,244.20","-","2.87%"
"2019년 01월 29일","1,236.25","1,255.95","1,258.82","1,234.91","-","-1.45%"
"2019년 01월 28일","1,254.40","1,234.44","1,264.83","1,230.69","-","-2.09%"
"2019년 01월 25일","1,281.16","1,260.52","1,285.38","1,250.37","-","2.17%"
"2019년 01월 24일","1,253.91","1,218.46","1,258.72","1,218.02","-","5.73%"
"2019년 01월 23일","1,185.95","1,200.32","1,205.35","1,174.96","-","-0.62%"
"2019년 01월 22일","1,193.36","1,217.07","1,217.69","1,185.05","-","-2.85%"
"2019년 01월 18일","1,228.33","1,210.70","1,236.13","1,206.57","-","2.30%"
"2019년 01월 17일","1,200.76","1,177.69","1,206.83","1,172.31","-","1.14%"
"2019년 01월 16일","1,187.19","1,197.61","1,206.76","1,186.37","-","-0.82%"
"2019년 01월 15일","1,197.03","1,202.22","1,210.84","1,191.97","-","0.23%"
"2019년 01월 14일","1,194.28","1,196.04","1,202.17","1,187.98","-","-1.55%"
"2019년 01월 11일","1,213.04","1,194.65","1,224.02","1,192.05","-","0.97%"
"2019년 01월 10일","1,201.40","1,181.26","1,202.96","1,178.73","-","0.97%"
"2019년 01월 09일","1,189.84","1,175.03","1,195.63","1,174.67","-","2.52%"
"2019년 01월 08일","1,160.55","1,177.76","1,177.82","1,145.38","-","-0.49%"
"2019년 01월 07일","1,166.24","1,147.22","1,176.75","1,143.24","-","1.95%"
"2019년 01월 04일","1,143.96","1,114.48","1,148.45","1,111.79","-","4.37%"
"2019년 01월 03일","1,096.03","1,136.96","1,142.92","1,094.59","-","-5.94%"
"2019년 01월 02일","1,165.30","1,131.47","1,173.52","1,131.44","-","0.88%"
